Num,1. # Codes(Include History) (ACIS VSV),2. +BM Voltage (ACT VSV),3. 2nd Air Monitor (Actuator Power Supply),4. 2nd Air Monitor (AF Lambda B1S1),5. 2nd Air Monitor CMPL (AF Lambda B2S1),6. 2nd Air Monitor ENA (AFS Current B1S1),7. 4WD Switch (AFS Current B2S1),8. A/C Monitor (AFS Voltage B1S1),9. A/C Monitor (AFS Voltage B2S1),10. A/C Monitor CMPL (All Cylinders Misfire Count),11. A/C Monitor ENA (Atmosphere Pressure),12. A/C Signal (Av Engine Speed of All Cyl),13. A/F Heater Duty B1S1 (Battery Voltage),14. A/F Heater Duty B2S1 (Calculate Load),15. A/T Oil Temperature 1 (Cancel Switch),16. A/T Oil Temperature 2 (Cat OT MF F/C Cylinder#1),17. Accel Fully Close Learn #1 (Cat OT MF F/C Cylinder#2),18. Accel Fully Close Learn #2 (Cat OT MF F/C Cylinder#3),19. Accel Sens. No.1 Volt % (Cat OT MF F/C Cylinder#4),20. Accel Sens. No.2 Volt % (Cat OT MF F/C Cylinder#5),21. Accel Sensor Out No.1 (Cat OT MF F/C Cylinder#6),22. Accel Sensor Out No.2 (Cat OT MF F/C History),23. Accelerator Idle Position (Catalyst Monitor),24. Accelerator Position (Catalyst Monitor)
24,-3,OFF,0,4.688,5.570,OFF,0,0,67,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.957,0.942,0.680,0.740,54.145
25,54.469,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,42.938,0.507,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,0
26,ON,OFF,1000,0,OFF,OFF,OFF,ON,Gasoline,0.996,OFF,OFF,0.684,ON,1.250,16.078,18,0,0.801,0.801,2.383,0.801,0.918,2.031
27,47.843,0,16.078,23,0.004,0.051,OFF,ECT 5th,NA,OFF,97.834,97.966,13.333,0,Not Avl,0,0,0,0,ON,ON,0,0,1
28,0,14.122,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,38.281,38.281,36.875,36.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
29,OFF,ON,ON,0.996,0.998,0.012,-0.008,3.318,3.283,0,97,51199.219,13.847,23.137,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
30,Incmpl,Enable,Avail,480.900,313,480.900,313,ON,Avail,Compl,Enable,76,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
31,Incmpl,Enable,OFF,OFF,1327,1030.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,47.059,Avail,Incmpl,Incmpl,Enable,7.996,ON,OFF,OFF,OFF,ON
32,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,15.500,249,ON,13.750,15,0.106,2367,21,21
33,-3,OFF,0,4.688,5.570,OFF,0,0,67,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.957,0.942,0.680,0.740,54.145
34,54.469,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,42.938,0.507,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,0
35,ON,OFF,1000,0,OFF,OFF,OFF,ON,Gasoline,0.996,OFF,OFF,0.684,ON,1.250,16.078,18,0,0.801,0.801,2.383,0.801,0.918,2.031
36,47.843,0,16.078,23,0.004,0.051,OFF,ECT 5th,NA,OFF,97.834,97.966,13.333,0,Not Avl,0,0,0,0,ON,ON,0,0,1
37,0,14.122,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,38.281,38.281,36.875,36.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
38,OFF,ON,ON,0.996,0.998,0.012,-0.008,3.318,3.283,0,97,51199.219,13.847,23.137,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
39,Incmpl,Enable,Avail,480.900,313,480.900,313,ON,Avail,Compl,Enable,76,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
40,Incmpl,Enable,OFF,OFF,1327,1030.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,47.059,Avail,Incmpl,Incmpl,Enable,7.996,ON,OFF,OFF,OFF,ON
41,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,15.500,249,ON,13.750,15,0.106,2367,21,21
42,-3,OFF,0,4.688,5.570,OFF,0,0,67,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.957,0.942,0.680,0.740,54.145
43,54.469,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,42.938,0.507,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,0
44,ON,OFF,1000,0,OFF,OFF,OFF,ON,Gasoline,0.996,OFF,OFF,0.684,ON,1.250,16.078,18,0,0.801,0.801,2.383,0.801,0.918,2.031
45,47.843,0,16.078,23,0.004,0.051,OFF,ECT 5th,NA,OFF,97.834,97.966,13.333,0,Not Avl,0,0,0,0,ON,ON,0,0,1
46,0,14.122,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,38.281,38.281,36.875,36.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
47,OFF,ON,ON,0.996,0.998,0.012,-0.008,3.318,3.283,0,97,51199.219,13.847,23.137,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
48,Incmpl,Enable,Avail,480.900,313,480.900,313,ON,Avail,Compl,Enable,76,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
49,Incmpl,Enable,OFF,OFF,1327,1030.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,47.059,Avail,Incmpl,Incmpl,Enable,7.996,ON,OFF,OFF,OFF,ON
50,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,15.500,249,ON,13.750,15,0.106,2367,21,21
51,-3,OFF,0,4.688,5.570,OFF,0,0,67,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.957,0.942,0.680,0.740,54.145
52,54.469,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,42.938,0.507,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,0
53,ON,OFF,1000,0,OFF,OFF,OFF,ON,Gasoline,0.996,OFF,OFF,0.684,ON,1.250,16.078,18,0,0.801,0.801,2.383,0.801,0.918,2.031
54,47.843,0,16.078,23,0.004,0.051,OFF,ECT 5th,NA,OFF,97.834,97.966,13.333,0,Not Avl,0,0,0,0,ON,ON,0,0,1
55,0,14.122,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,38.281,38.281,36.875,36.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
56,OFF,ON,ON,0.996,0.998,0.012,-0.008,3.318,3.283,0,97,51199.219,13.847,23.137,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
57,Incmpl,Enable,Avail,480.900,313,480.900,313,ON,Avail,Compl,Enable,76,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
58,Incmpl,Enable,OFF,OFF,1327,1030.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,47.059,Avail,Incmpl,Incmpl,Enable,7.996,ON,OFF,OFF,OFF,ON
59,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,15.500,249,ON,13.750,15,0.106,2367,21,21
60,-3,OFF,0,4.688,5.570,OFF,0,0,67,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.957,0.942,0.680,0.740,54.145
61,54.469,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,42.938,0.507,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,0
62,ON,OFF,1000,0,OFF,OFF,OFF,ON,Gasoline,0.996,OFF,OFF,0.684,ON,1.250,16.078,18,0,0.801,0.801,2.383,0.801,0.918,2.031
63,47.843,0,16.078,23,0.004,0.051,OFF,ECT 5th,NA,OFF,97.834,97.966,13.333,0,Not Avl,0,0,0,0,ON,ON,0,0,1
64,0,14.122,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,38.281,38.281,36.875,36.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
65,OFF,ON,ON,0.996,0.998,0.012,-0.008,3.318,3.283,0,97,51199.219,13.847,23.137,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
66,Incmpl,Enable,Avail,480.900,313,480.900,313,ON,Avail,Compl,Enable,76,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
67,Incmpl,Enable,OFF,OFF,1327,1030.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,47.059,Avail,Incmpl,Incmpl,Enable,7.996,ON,OFF,OFF,OFF,ON
68,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,15.500,249,ON,13.750,15,0.106,2367,21,21
69,-3,OFF,0,4.688,5.570,OFF,0,0,67,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.957,0.942,0.680,0.740,54.145
70,54.469,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,42.938,0.507,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,0
71,ON,OFF,1000,0,OFF,OFF,OFF,ON,Gasoline,0.996,OFF,OFF,0.684,ON,1.250,16.078,18,0,0.801,0.801,2.383,0.801,0.918,2.031
72,47.843,0,16.078,23,0.004,0.051,OFF,ECT 5th,NA,OFF,97.834,97.966,13.333,0,Not Avl,0,0,0,0,ON,ON,0,0,1
73,0,14.122,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,38.281,38.281,36.875,36.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
74,OFF,ON,ON,0.996,0.998,0.012,-0.008,3.318,3.283,0,97,51199.219,13.847,23.137,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
75,Incmpl,Enable,Avail,480.900,313,480.900,313,ON,Avail,Compl,Enable,76,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
76,Incmpl,Enable,OFF,OFF,1327,1030.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,47.059,Avail,Incmpl,Incmpl,Enable,7.996,ON,OFF,OFF,OFF,ON
77,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,15.500,249,ON,13.750,15,0.106,2367,21,21
78,-3,OFF,0,4.688,5.570,OFF,0,0,67,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.957,0.942,0.680,0.740,54.145
79,54.469,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,42.938,0.507,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,0
80,ON,OFF,1000,0,OFF,OFF,OFF,ON,Gasoline,0.996,OFF,OFF,0.684,ON,1.250,16.078,18,0,0.801,0.801,2.383,0.801,0.918,2.031
81,47.843,0,16.078,23,0.004,0.051,OFF,ECT 5th,NA,OFF,97.834,97.966,13.333,0,Not Avl,0,0,0,0,ON,ON,0,0,1
82,0,14.122,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,38.281,38.281,36.875,36.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
83,OFF,ON,ON,0.996,0.998,0.012,-0.008,3.318,3.283,0,97,51199.219,13.847,23.137,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
84,Incmpl,Enable,Avail,480.900,313,480.900,313,ON,Avail,Compl,Enable,76,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
85,Incmpl,Enable,OFF,OFF,1327,1030.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,47.059,Avail,Incmpl,Incmpl,Enable,7.996,ON,OFF,OFF,OFF,ON
86,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,15.500,249,ON,13.750,15,0.106,2367,21,21
87,-3,OFF,0,4.688,5.570,OFF,0,0,67,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.957,0.942,0.680,0.740,54.145
88,54.469,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,42.938,0.507,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,0
89,ON,OFF,1000,0,OFF,OFF,OFF,ON,Gasoline,0.996,OFF,OFF,0.684,ON,1.250,16.078,18,0,0.801,0.801,2.383,0.801,0.918,2.031
90,47.843,0,16.078,23,0.004,0.051,OFF,ECT 5th,NA,OFF,97.834,97.966,13.333,0,Not Avl,0,0,0,0,ON,ON,0,0,1
91,0,14.122,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,38.281,38.281,36.875,36.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
92,OFF,ON,ON,0.996,0.998,0.012,-0.008,3.318,3.283,0,97,51199.219,13.847,23.137,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
93,Incmpl,Enable,Avail,480.900,313,480.900,313,ON,Avail,Compl,Enable,76,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
94,Incmpl,Enable,OFF,OFF,1327,1030.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,47.059,Avail,Incmpl,Incmpl,Enable,7.996,ON,OFF,OFF,OFF,ON
95,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,15.500,249,ON,13.750,15,0.106,2367,21,21
96,-3,OFF,0,4.688,5.570,OFF,0,0,67,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.957,0.942,0.680,0.740,54.145
97,54.469,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,42.938,0.507,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,0
98,ON,OFF,1000,0,OFF,OFF,OFF,ON,Gasoline,0.996,OFF,OFF,0.684,ON,1.250,16.078,18,0,0.801,0.801,2.383,0.801,0.918,2.031
99,47.843,0,16.078,23,0.004,0.051,OFF,ECT 5th,NA,OFF,97.834,97.966,13.333,0,Not Avl,0,0,0,0,ON,ON,0,0,1
100,0,14.122,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,38.281,38.281,36.875,36.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
101,OFF,ON,ON,0.996,0.998,0.012,-0.008,3.318,3.283,0,97,51199.219,13.847,23.137,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
102,Incmpl,Enable,Avail,480.900,313,480.900,313,ON,Avail,Compl,Enable,76,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
103,Incmpl,Enable,OFF,OFF,1327,1030.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,47.059,Avail,Incmpl,Incmpl,Enable,7.996,ON,OFF,OFF,OFF,ON
104,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,15.500,249,ON,13.750,15,0.106,2367,21,21
105,-3,OFF,0,4.688,5.570,OFF,0,0,67,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.957,0.942,0.680,0.740,54.145
106,54.469,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,42.938,0.507,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,0
107,ON,OFF,1000,0,OFF,OFF,OFF,ON,Gasoline,0.996,OFF,OFF,0.684,ON,1.250,16.078,18,0,0.801,0.801,2.383,0.801,0.918,2.031
108,47.843,0,16.078,23,0.004,0.051,OFF,ECT 5th,NA,OFF,97.834,97.966,13.333,0,Not Avl,0,0,0,0,ON,ON,0,0,1
109,0,14.122,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,38.281,38.281,36.875,36.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
110,OFF,ON,ON,0.996,0.998,0.012,-0.008,3.318,3.283,0,97,51199.219,13.847,23.137,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
111,Incmpl,Enable,Avail,480.900,313,480.900,313,ON,Avail,Compl,Enable,76,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
112,Incmpl,Enable,OFF,OFF,1327,1030.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,47.059,Avail,Incmpl,Incmpl,Enable,7.996,ON,OFF,OFF,OFF,ON
113,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,15.500,249,ON,13.750,15,0.106,2367,21,21
114,-3,OFF,0,4.688,5.570,OFF,0,0,67,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.957,0.942,0.680,0.740,54.145
115,54.469,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,42.938,0.507,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,0
116,ON,OFF,1000,0,OFF,OFF,OFF,ON,Gasoline,0.996,OFF,OFF,0.684,ON,1.250,16.078,18,0,0.801,0.801,2.383,0.801,0.918,2.031
117,47.843,0,16.078,23,0.004,0.051,OFF,ECT 5th,NA,OFF,97.834,97.966,13.333,0,Not Avl,0,0,0,0,ON,ON,0,0,1
118,0,14.122,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,38.281,38.281,36.875,36.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
119,OFF,ON,ON,0.996,0.998,0.012,-0.008,3.318,3.283,0,97,51199.219,13.847,23.137,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
120,Incmpl,Enable,Avail,480.900,313,480.900,313,ON,Avail,Compl,Enable,76,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
121,Incmpl,Enable,OFF,OFF,1327,1030.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,47.059,Avail,Incmpl,Incmpl,Enable,7.996,ON,OFF,OFF,OFF,ON
122,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,15.500,249,ON,13.750,15,0.106,2367,21,21
123,-3,OFF,0,4.688,5.570,OFF,0,0,67,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.957,0.942,0.680,0.740,54.145
124,54.469,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,42.938,0.507,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,0
125,ON,OFF,1000,0,OFF,OFF,OFF,ON,Gasoline,0.996,OFF,OFF,0.684,ON,1.250,16.078,18,0,0.801,0.801,2.383,0.801,0.918,2.031
126,47.843,0,16.078,23,0.004,0.051,OFF,ECT 5th,NA,OFF,97.834,97.966,13.333,0,Not Avl,0,0,0,0,ON,ON,0,0,1
127,0,14.122,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,38.281,35.938,36.875,36.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
128,OFF,ON,ON,0.996,0.998,0.012,-0.008,3.318,3.283,0,97,51199.219,13.847,23.137,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
129,Incmpl,Enable,Avail,480.900,313,480.900,313,ON,Avail,Compl,Enable,76,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
130,Incmpl,Enable,OFF,OFF,1327,1030.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,47.059,Avail,Incmpl,Incmpl,Enable,7.996,ON,OFF,OFF,OFF,ON
131,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,15.500,249,ON,13.750,15,0.106,2367,21,21
132,-3,OFF,0,4.688,5.570,OFF,0,0,67,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.957,0.942,0.680,0.740,54.145
133,54.469,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,42.938,0.507,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,0
134,ON,OFF,1000,0,OFF,OFF,OFF,ON,Gasoline,0.996,OFF,OFF,0.684,ON,1.250,16.078,18,0,0.801,0.801,2.383,0.801,0.918,2.031
135,47.843,0,16.078,23,0.004,0.051,OFF,ECT 5th,NA,OFF,97.834,97.966,13.333,0,Not Avl,0,0,0,0,ON,ON,0,0,1
136,0,14.122,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,38.281,35.938,36.875,36.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
137,OFF,ON,ON,0.996,0.998,0.012,-0.008,3.318,3.283,0,97,51199.219,13.847,23.137,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
138,Incmpl,Enable,Avail,480.900,313,480.900,313,ON,Avail,Compl,Enable,76,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
