Num,1. # Codes(Include History) (ACIS VSV),2. +BM Voltage (ACT VSV),3. 2nd Air Monitor (Actuator Power Supply),4. 2nd Air Monitor (AF Lambda B1S1),5. 2nd Air Monitor CMPL (AF Lambda B2S1),6. 2nd Air Monitor ENA (AFS Current B1S1),7. 4WD Switch (AFS Current B2S1),8. A/C Monitor (AFS Voltage B1S1),9. A/C Monitor (AFS Voltage B2S1),10. A/C Monitor CMPL (All Cylinders Misfire Count),11. A/C Monitor ENA (Atmosphere Pressure),12. A/C Signal (Av Engine Speed of All Cyl),13. A/F Heater Duty B1S1 (Battery Voltage),14. A/F Heater Duty B2S1 (Calculate Load),15. A/T Oil Temperature 1 (Cancel Switch),16. A/T Oil Temperature 2 (Cat OT MF F/C Cylinder#1),17. Accel Fully Close Learn #1 (Cat OT MF F/C Cylinder#2),18. Accel Fully Close Learn #2 (Cat OT MF F/C Cylinder#3),19. Accel Sens. No.1 Volt % (Cat OT MF F/C Cylinder#4),20. Accel Sens. No.2 Volt % (Cat OT MF F/C Cylinder#5),21. Accel Sensor Out No.1 (Cat OT MF F/C Cylinder#6),22. Accel Sensor Out No.2 (Cat OT MF F/C History),23. Accelerator Idle Position (Catalyst Monitor),24. Accelerator Position (Catalyst Monitor)
17,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
18,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
19,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
20,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
21,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
22,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
23,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
24,-3,OFF,0,0,7.390,OFF,0,0,43,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.972,0.962,0.625,0.720,50.902
25,53.172,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,0,0,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,3.906
26,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
27,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
28,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
29,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
30,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
31,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
32,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
33,-3,OFF,0,0,7.390,OFF,0,0,43,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.972,0.962,0.625,0.720,50.902
34,53.172,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,0,0,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,3.906
35,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
36,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
37,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
38,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
39,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
40,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
41,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
42,-3,OFF,0,0,7.390,OFF,0,0,43,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.972,0.962,0.625,0.720,50.902
43,53.172,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,0,0,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,3.906
44,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
45,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
46,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
47,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
48,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
49,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
50,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
51,-3,OFF,0,0,7.390,OFF,0,0,43,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.972,0.962,0.625,0.720,50.902
52,53.172,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,0,0,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,3.906
53,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
54,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
55,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
56,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
57,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
58,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
59,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
60,-3,OFF,0,0,7.390,OFF,0,0,43,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.972,0.962,0.625,0.720,50.902
61,53.172,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,0,0,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,3.906
62,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
63,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
64,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
65,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
66,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
67,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
68,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
69,-3,OFF,0,0,7.390,OFF,0,0,43,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.972,0.962,0.625,0.720,50.902
70,53.172,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,0,0,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,3.906
71,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
72,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
73,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
74,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
75,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
76,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
77,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
78,-3,OFF,0,0,7.390,OFF,0,0,43,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.972,0.962,0.625,0.720,50.902
79,53.172,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,0,0,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,3.906
80,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
81,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
82,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
83,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
84,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
85,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
86,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
87,-3,OFF,0,0,7.390,OFF,0,0,43,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.972,0.962,0.625,0.720,50.902
88,53.172,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,0,0,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,3.906
89,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
90,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
91,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
92,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
93,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
94,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
95,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
96,-3,OFF,0,0,7.390,OFF,0,0,43,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.972,0.962,0.625,0.720,50.902
97,53.172,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,0,0,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,3.906
98,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
99,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
100,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
101,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
102,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
103,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
104,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
105,-3,OFF,0,0,7.390,OFF,0,0,43,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.972,0.962,0.625,0.720,50.902
106,53.172,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,0,0,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,3.906
107,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
108,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
109,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
110,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
111,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
112,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
113,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
114,-3,OFF,0,0,7.390,OFF,0,0,43,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.972,0.962,0.625,0.720,50.902
115,53.172,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,0,0,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,3.906
116,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
117,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
118,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
119,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
120,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
121,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
122,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
123,-3,OFF,0,0,7.390,OFF,0,0,43,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.972,0.962,0.625,0.720,50.902
124,53.172,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,0,0,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,3.906
125,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
126,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
127,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
128,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
129,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
130,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
131,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
132,-3,OFF,0,0,7.390,OFF,0,0,43,Avail,Compl,Enable,0,GRN2#  ,2011,ON,0,ACTIVE,ACTIVE,0.972,0.962,0.625,0.720,50.902
133,53.172,Avail,Compl,Avail,Incmpl,Incmpl,Enable,OBD II (California ARB),OFF,OFF,0,0,OFF,0,OFF,1st,OFF,OFF,OFF,OFF,OFF,OFF,0,3.906
134,ON,OFF,1100,0,OFF,OFF,OFF,ON,Gasoline,0.991,OFF,OFF,0.684,ON,0.703,16.863,11,0,0.840,0.840,2.441,0.840,0.918,2.031
135,49.020,0,16.863,7,0,0,OFF,ECT 5th,NA,OFF,97.878,97.878,16.471,0,Not Avl,0,0,0,0,ON,ON,0,0,0
136,0,14.237,Not Avl,Compl,Compl,Unable,ON,Not Avl,Compl,Compl,Unable,OFF,37.500,35.938,22.500,21.875,19.531,39.551,15.686,31.765,0.781,1.582,ON,0
137,OFF,ON,ON,0.996,0.995,-0.020,-0.012,3.264,3.274,0,97,51199.219,13.964,27.059,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,Avail,Incmpl
138,Incmpl,Enable,Avail,525.400,342.800,525.400,342.800,ON,Avail,Compl,Enable,66,0,0,0,0,0,0,6,A,0,0,Avail,Incmpl
139,Incmpl,Enable,OFF,OFF,380,1125,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,1GRFE ,0,Avail,Incmpl,Incmpl,Enable,0,OFF,OFF,OFF,OFF,ON
140,ON,Avail,Compl,Enable,Compl,CL,CL,Compl,Unable,Not Avl,Compl,Compl,Enable,OFF,0,16,276,ON,13.750,15,0.125,2684,15,21
